price_date,symbol,company_name,open_price,close_price,high_price,low_price,volume
2025-10-20,TSLA,Tesla Inc.,443.87,447.43,449.8,440.61,63718971
2025-10-21,AAPL,Apple Inc.,261.88,262.77,265.29,261.83,46695948
2025-10-21,AMZN,Amazon.com Inc.,218.43,222.03,223.32,217.99,50494565
2025-10-21,GOOGL,Alphabet Inc.,254.74,250.46,254.88,244.15,47312098
2025-10-21,MSFT,Microsoft Corp.,517.5,517.66,518.69,513.04,15586204
2025-10-21,TSLA,Tesla Inc.,445.76,442.6,449.3,442.05,54412169
2025-10-22,AAPL,Apple Inc.,262.65,258.45,262.85,255.43,45015254
2025-10-22,AMZN,Amazon.com Inc.,219.3,217.95,220.01,216.52,44308538
2025-10-22,GOOGL,Alphabet Inc.,254.37,251.69,256.36,249.29,35029370
2025-10-22,MSFT,Microsoft Corp.,521.15,520.54,525.23,517.71,18962694
2025-10-22,TSLA,Tesla Inc.,443.45,438.97,445.54,429.0,84023458
2025-10-23,AAPL,Apple Inc.,259.94,259.58,260.62,258.01,32754941
2025-10-23,AMZN,Amazon.com Inc.,219.0,221.09,221.3,218.18,31539999
2025-10-23,GOOGL,Alphabet Inc.,252.98,253.08,255.04,251.85,19901425
2025-10-23,MSFT,Microsoft Corp.,522.46,520.56,523.95,518.61,14023532
2025-10-23,TSLA,Tesla Inc.,420.0,448.98,449.4,413.9,126709833
2025-10-24,AAPL,Apple Inc.,261.19,262.82,264.13,259.18,38253717
2025-10-24,AMZN,Amazon.com Inc.,221.97,224.21,225.4,221.9,38685053
2025-10-24,GOOGL,Alphabet Inc.,256.58,259.92,261.68,255.32,28655126
2025-10-24,MSFT,Microsoft Corp.,522.79,523.61,525.35,520.71,15532360
2025-10-24,TSLA,Tesla Inc.,446.83,433.72,451.68,430.17,94727774
2025-10-27,AAPL,Apple Inc.,264.88,268.81,269.12,264.65,44888152
2025-10-27,AMZN,Amazon.com Inc.,227.66,226.97,228.4,225.54,38266995
2025-10-27,GOOGL,Alphabet Inc.,264.82,269.27,270.14,264.28,35235231
2025-10-27,MSFT,Microsoft Corp.,531.78,531.52,534.58,529.01,18734716
2025-10-27,TSLA,Tesla Inc.,439.98,452.42,460.16,438.69,105867547
2025-10-28,AAPL,Apple Inc.,268.99,269.0,269.89,268.15,41534759
2025-10-28,AMZN,Amazon.com Inc.,228.22,229.25,231.49,226.21,47100026
2025-10-28,GOOGL,Alphabet Inc.,269.69,267.47,270.73,266.5,29738564
2025-10-28,MSFT,Microsoft Corp.,550.0,542.07,553.72,540.77,29986683
2025-10-28,TSLA,Tesla Inc.,454.78,460.55,467.0,451.6,80185667
2025-10-29,AAPL,Apple Inc.,269.28,269.7,271.41,267.11,51086742
2025-10-29,AMZN,Amazon.com Inc.,231.67,230.3,232.82,227.76,52036151
2025-10-29,GOOGL,Alphabet Inc.,267.75,274.57,275.34,267.67,43580277
2025-10-29,MSFT,Microsoft Corp.,544.94,541.55,546.27,536.73,36023004
2025-10-29,TSLA,Tesla Inc.,462.5,461.51,465.7,452.65,67983544
2025-10-30,AAPL,Apple Inc.,271.99,271.4,274.14,268.48,69886534
2025-10-30,AMZN,Amazon.com Inc.,227.06,222.86,228.44,222.75,102252937
2025-10-30,GOOGL,Alphabet Inc.,291.59,281.48,291.59,280.06,74875990
2025-10-30,MSFT,Microsoft Corp.,530.48,525.76,534.97,522.12,41023088
2025-10-30,TSLA,Tesla Inc.,451.05,440.1,455.06,439.61,72447938
2025-10-31,AAPL,Apple Inc.,276.99,270.37,277.32,269.16,86167123
2025-10-31,AMZN,Amazon.com Inc.,250.1,244.22,250.5,243.98,166340808
2025-10-31,GOOGL,Alphabet Inc.,283.21,281.19,286.0,277.03,39267945
2025-10-31,MSFT,Microsoft Corp.,528.88,517.81,529.32,515.1,34006424
2025-10-31,TSLA,Tesla Inc.,446.75,456.56,458.0,443.69,83135787
2025-11-03,AAPL,Apple Inc.,270.42,269.05,270.85,266.25,50194583
2025-11-03,AMZN,Amazon.com Inc.,255.36,254.0,258.6,252.9,95997816
2025-11-03,GOOGL,Alphabet Inc.,282.18,283.72,285.53,279.8,29785996
2025-11-03,MSFT,Microsoft Corp.,519.81,517.03,524.96,514.59,22374742
2025-11-03,TSLA,Tesla Inc.,455.99,468.37,474.07,453.8,84595244
2025-11-04,AAPL,Apple Inc.,268.33,270.04,271.49,267.62,49274846
2025-11-04,AMZN,Amazon.com Inc.,250.38,249.32,257.01,248.66,51546311
2025-11-04,GOOGL,Alphabet Inc.,276.75,277.54,281.27,276.26,30078369
2025-11-04,MSFT,Microsoft Corp.,511.76,514.33,515.55,507.84,20958663
2025-11-04,TSLA,Tesla Inc.,454.46,444.26,460.22,443.6,87756644
2025-11-05,AAPL,Apple Inc.,268.61,270.14,271.7,266.93,42586288
2025-11-05,AMZN,Amazon.com Inc.,249.03,250.2,251.0,246.16,39234469
2025-11-05,GOOGL,Alphabet Inc.,278.87,284.31,286.42,277.34,30283252
2025-11-05,MSFT,Microsoft Corp.,513.3,507.16,514.83,506.58,22883851
2025-11-05,TSLA,Tesla Inc.,452.05,462.07,466.33,440.71,84911911
2025-11-06,AAPL,Apple Inc.,267.89,269.77,273.4,267.89,51204045
2025-11-06,AMZN,Amazon.com Inc.,249.16,243.04,250.38,242.17,46004203
2025-11-06,GOOGL,Alphabet Inc.,285.33,284.75,288.35,281.14,37173648
2025-11-06,MSFT,Microsoft Corp.,505.66,497.1,505.7,495.81,27406496
2025-11-06,TSLA,Tesla Inc.,461.96,445.91,467.45,435.09,109622907
2025-11-07,AAPL,Apple Inc.,269.8,268.47,272.29,266.77,48227365
2025-11-07,AMZN,Amazon.com Inc.,242.9,244.41,244.9,238.49,46374294
2025-11-07,GOOGL,Alphabet Inc.,283.21,278.83,283.78,275.19,34479588
2025-11-07,MSFT,Microsoft Corp.,496.95,496.82,499.38,493.25,24019764
2025-11-07,TSLA,Tesla Inc.,437.92,429.52,439.36,421.88,103471495
2025-11-10,AAPL,Apple Inc.,268.96,269.43,273.73,267.46,41312412
2025-11-10,AMZN,Amazon.com Inc.,248.34,248.4,251.75,245.59,36476514
2025-11-10,GOOGL,Alphabet Inc.,284.42,290.1,290.8,282.86,29557309
2025-11-10,MSFT,Microsoft Corp.,500.04,506.0,506.85,498.8,26101480
